Layer,Run_1
__module.model.layers.10.self_attn/aten::reshape/Reshape_2,0
__module.model.layers.10.self_attn.o_proj/ov_ext::linear/MatMul,4358
__module.model.layers.10/aten::add/Add,290
__module.model.layers.10.post_attention_layernorm/aten::mul/Multiply_1,206
__module.model.layers.10.mlp.down_proj/ov_ext::linear/MatMul,88807
__module.model.layers.10/aten::add/Add_1,629
__module.model.layers.11.input_layernorm/aten::mul/Multiply_1,371
__module.model.layers.11.self_attn.q_proj/ov_ext::linear/MatMul,4571
__module.model.layers.11.self_attn/aten::view/Reshape,1
__module.model.layers.11.self_attn/aten::add/Add,694
__module.model.layers.11.self_attn.k_proj/ov_ext::linear/MatMul,1280
__module.model.layers.11.self_attn/aten::view/Reshape_1,1
__module.model.layers.11.self_attn/aten::add/Add_1,192
__module.model.layers.11.self_attn.v_proj/ov_ext::linear/MatMul,1248
__module.model.layers.11.self_attn/aten::view/Reshape_2,0
__module.model.layers.11.self_attn/aten::transpose/Transpose_2,204
__module.model.layers.11.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention,30140
__module.model.layers.11.self_attn/aten::transpose/Transpose_3,283
__module.model.layers.11.self_attn/aten::reshape/Reshape_2,4
__module.model.layers.11.self_attn.o_proj/ov_ext::linear/MatMul,4351
__module.model.layers.11/aten::add/Add,286
__module.model.layers.11.post_attention_layernorm/aten::mul/Multiply_1,198
__module.model.layers.11.mlp.down_proj/ov_ext::linear/MatMul,94602
__module.model.layers.11/aten::add/Add_1,426
__module.model.layers.12.input_layernorm/aten::mul/Multiply_1,311
__module.model.layers.12.self_attn.q_proj/ov_ext::linear/MatMul,4608
__module.model.layers.12.self_attn/aten::view/Reshape,1
__module.model.layers.12.self_attn/aten::add/Add,545
__module.model.layers.12.self_attn.k_proj/ov_ext::linear/MatMul,1352
__module.model.layers.12.self_attn/aten::view/Reshape_1,0
__module.model.layers.12.self_attn/aten::add/Add_1,186
__module.model.layers.12.self_attn.v_proj/ov_ext::linear/MatMul,1267
__module.model.layers.12.self_attn/aten::view/Reshape_2,1
__module.model.layers.12.self_attn/aten::transpose/Transpose_2,169
__module.model.layers.12.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention,29345
__module.model.layers.12.self_attn/aten::transpose/Transpose_3,272
__module.model.layers.12.self_attn/aten::reshape/Reshape_2,1
__module.model.layers.12.self_attn.o_proj/ov_ext::linear/MatMul,4328
__module.model.layers.12/aten::add/Add,279
__module.model.layers.12.post_attention_layernorm/aten::mul/Multiply_1,198
__module.model.layers.12.mlp.down_proj/ov_ext::linear/MatMul,97697
__module.model.layers.12/aten::add/Add_1,439
__module.model.layers.13.input_layernorm/aten::mul/Multiply_1,305
__module.model.layers.13.self_attn.q_proj/ov_ext::linear/MatMul,4630
__module.model.layers.13.self_attn/aten::view/Reshape,1
__module.model.layers.13.self_attn/aten::add/Add,597
__module.model.layers.13.self_attn.k_proj/ov_ext::linear/MatMul,1240
__module.model.layers.13.self_attn/aten::view/Reshape_1,0
__module.model.layers.13.self_attn/aten::add/Add_1,184
__module.model.layers.13.self_attn.v_proj/ov_ext::linear/MatMul,1278
__module.model.layers.13.self_attn/aten::view/Reshape_2,0
__module.model.layers.13.self_attn/aten::transpose/Transpose_2,207
__module.model.layers.13.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention,29979
__module.model.layers.13.self_attn/aten::transpose/Transpose_3,286
__module.model.layers.13.self_attn/aten::reshape/Reshape_2,0
__module.model.layers.13.self_attn.o_proj/ov_ext::linear/MatMul,4323
__module.model.layers.13/aten::add/Add,288
__module.model.layers.13.post_attention_layernorm/aten::mul/Multiply_1,206
__module.model.layers.13.mlp.down_proj/ov_ext::linear/MatMul,104024
__module.model.layers.13/aten::add/Add_1,479
__module.model.layers.14.input_layernorm/aten::mul/Multiply_1,362
__module.model.layers.14.self_attn.q_proj/ov_ext::linear/MatMul,5038
__module.model.layers.14.self_attn/aten::view/Reshape,1
__module.model.layers.14.self_attn/aten::add/Add,711
__module.model.layers.14.self_attn.k_proj/ov_ext::linear/MatMul,1264
__module.model.layers.14.self_attn/aten::view/Reshape_1,1
__module.model.layers.14.self_attn/aten::add/Add_1,199
__module.model.layers.14.self_attn.v_proj/ov_ext::linear/MatMul,1288
__module.model.layers.14.self_attn/aten::view/Reshape_2,1
__module.model.layers.14.self_attn/aten::transpose/Transpose_2,55
__module.model.layers.14.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention,31982
__module.model.layers.14.self_attn/aten::transpose/Transpose_3,290
__module.model.layers.14.self_attn/aten::reshape/Reshape_2,1
__module.model.layers.14.self_attn.o_proj/ov_ext::linear/MatMul,4342
__module.model.layers.14/aten::add/Add,369
__module.model.layers.14.post_attention_layernorm/aten::mul/Multiply_1,216
__module.model.layers.14.mlp.down_proj/ov_ext::linear/MatMul,99402
__module.model.layers.14/aten::add/Add_1,451
__module.model.layers.15.input_layernorm/aten::mul/Multiply_1,298
__module.model.layers.15.self_attn.q_proj/ov_ext::linear/MatMul,4606
__module.model.layers.15.self_attn/aten::view/Reshape_2,1
__module.model.layers.15.self_attn/aten::add/Add_1,560
__module.model.layers.15.self_attn.k_proj/ov_ext::linear/MatMul,1246
__module.model.layers.15.self_attn/aten::view/Reshape_1,1
__module.model.layers.15.self_attn/aten::add/Add,195
__module.model.layers.15.self_attn.v_proj/ov_ext::linear/MatMul,1312
__module.model.layers.15.self_attn/aten::view/Reshape,1
__module.model.layers.15.self_attn/aten::transpose/Transpose,306
__module.model.layers.15.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention,30115
__module.model.layers.15.self_attn/aten::transpose/Transpose_3,961
__module.model.layers.15.self_attn/aten::reshape/Reshape_2,1
__module.model.layers.15.self_attn.o_proj/ov_ext::linear/MatMul,8489
__module.model.layers.15/aten::add/Add,293
__module.model.layers.15.post_attention_layernorm/aten::mul/Multiply_1,219
__module.model.layers.15.mlp.down_proj/ov_ext::linear/MatMul,101821
__module.model.layers.15/aten::add/Add_1,1243
__module.model.norm/aten::mul/Multiply_1,314
__module.lm_head/ov_ext::linear/MatMul,439365
__module.lm_head/ov_ext::linear/MatMul_bf16_f32_Result_18167,114528
Result_18167,0
stub_0___module.model/aten::index/Split,0
Assign_53498,2
Assign_53436,4
Assign_53438,1
Assign_53440,2
Assign_53442,1
Assign_53468,0
Assign_53470,1
Assign_53472,1
Assign_53474,1
Assign_53476,1
Assign_53478,2
Assign_53480,0
Assign_53482,0
Assign_53484,0
Assign_53486,1
Assign_53488,1
Assign_53490,0
Assign_53492,0
Assign_53494,0
Assign_53496,0
Assign_53466,1
Assign_53444,0
Assign_53446,0
Assign_53448,0
Assign_53450,0
Assign_53452,1
Assign_53454,1
Assign_53456,0
Assign_53458,0
Assign_53460,0
Assign_53462,0
Assign_53464,0
